id,message,category
284,I cannot verify my account,Account/Login Issue
38,The online payment is not working,Payment Issue
3,I cannot use my card to pay!,Payment Issue
180,"Hello, is the large size available?",Product/Stock Inquiry
150,The refund has not reached my bank account,Refund/Cancellation
158,I changed my mind and want to cancel,Refund/Cancellation
53,The payment gateway is not responding,Payment Issue
438,how can I learn more about your products?,General Inquiry
203,Do you have sugar-free options?,Product/Stock Inquiry
30,Can you help? my card was charged and then the order failed,Payment Issue
162,I want my money back Can you check?,Refund/Cancellation
278,"Hello, i need to recover my account",Account/Login Issue
212,do you have seasonal drinks?,Product/Stock Inquiry
419,Is the branch open on public holidays??,General Inquiry
227,Has the kitchen received my order?,Order Status Inquiry
43,"Hello, i was charged twice for the same order",Payment Issue
292,I need assistance with login,Account/Login Issue
246,I need an update on my ORDER,Order Status Inquiry
93,where is my delivery?,Delivery Issue
323,My account access has stopped working!,Account/Login Issue
185,When will this item be back in stock??,Product/Stock Inquiry
388,what are your customer support hours?,General Inquiry
36,,Payment Issue
193,Please help. is the new drink available?,Product/Stock Inquiry
235,"Hello, what is the progress of my order?",Order Status Inquiry
270,Has the kitchen received my order?,Order Status Inquiry
252,I need help: is my order ready for collection?,Order Status Inquiry
223,Is my order ready now? Please help.,Order Status Inquiry
389,where can i see my order history?,General Inquiry
424,How can I contact customer support??,General Inquiry
190,Can I remove an ingredient? Please advise.,Product/Stock Inquiry
75,The delivery is later than the promised time Please advise.,Delivery Issue
165,I requested a refund yesterday,Refund/Cancellation
296,Can you help me unlock my account?,Account/Login Issue
37,My payment was cancelled by the gateway,Payment Issue
184,What sizes are available?,Product/Stock Inquiry
198,What drinks are in stock today?,Product/Stock Inquiry
429,"Hello, what are your opening hours?",General Inquiry
324,My account is temporarily locked,Account/Login Issue
350,What is the expiry date of this promotion?,Promotion/Discount Inquiry
397,Do you accept cash at branches?,General Inquiry
434,What time does the branch close?,General Inquiry
64,My order is still with the branch ASAP.,Delivery Issue
450,Can I change my delivery address?,
347,Do you have any promotions today?,Promotion/Discount Inquiry
351,Why was my promotion rejected?,Promotion/Discount Inquiry
86,I need an update on the delivery,Delivery Issue
353,Why did the promotional price not appear??,Promotion/Discount Inquiry
196,Is this flavour available at my branch??,Product/Stock Inquiry
13,Why is my payment still processing?,Payment Issue
83,My order says delivered but I did not receive it,Delivery Issue
42,The wallet payment is not going through Please advise.,Payment Issue
383,Is there a promotion for new customers? Can you check?,Promotion/Discount Inquiry
120,,Refund/Cancellation
175,is this item available at my nearest branch?,Product/Stock Inquiry
117,Please help. my cancelled order was charged,Refund/Cancellation
192,Do you have this product in another size? Please advise.,Product/Stock Inquiry
295,I forgot my password,Account/Login Issue
283,I cannot complete the login process Please advise.,Account/Login Issue
409,Can I order from the website?,General Inquiry
325,I need to change my account password,Account/Login Issue
340,"Hello, do you have any new discounts?",Promotion/Discount Inquiry
181,Is the product currently unavailable?,Product/Stock Inquiry
312,Can you help? my login details are not accepted,Account/Login Issue
332,Can I use this coupon?,Promotion/Discount Inquiry
74,Can you tell me the estimated delivery time??,Delivery Issue
63,"Hi, please tell me where my order is",Delivery Issue
128,"i accidentally placed two orders, cancel one",Refund/Cancellation
197,  do you have this product in stock?  ,Product/Stock Inquiry
134,I need a refund for this purchase Please help.,Refund/Cancellation
214,Is the strawberry drink available today?,Product/Stock Inquiry
126,I was charged for a cancelled order,Refund/Cancellation
250,My order has been pending for a while,Order Status Inquiry
372,how can i claim the current offer?,Promotion/Discount Inquiry
22,The payment was successful but the system did not update,Payment Issue
39,Please help. i cannot complete the card payment,Payment Issue
68,My delivery has been delayed since morning,Delivery Issue
166,Is this menu item available for delivery?,Product/Stock Inquiry
316,Why is my account locked?,Account/Login Issue
127,please cancel this order,Refund/Cancellation
248,can you check my order status?,Order Status Inquiry
345,,Promotion/Discount Inquiry
90,"Hello, the tracking information is not updating",Delivery Issue
400,Do you have gift cards?,General Inquiry
348,Is the discount available for delivery orders?,Promotion/Discount Inquiry
331,Can I apply the offer after placing an order??,Promotion/Discount Inquiry
139,Please cancel the duplicate order,Refund/Cancellation
205,which products can i order right now?,Product/Stock Inquiry
368,Can I combine two promotions??,Promotion/Discount Inquiry
173,Is the strawberry drink available today?,Product/Stock Inquiry
428,Do you have a mobile application? Please advise.,General Inquiry
5,Can you check my payment status?,Payment Issue
244,Can you tell me if the order is ready?,Order Status Inquiry
119,Why was my refund rejected?,Refund/Cancellation
87,Why has the rider not moved from the branch?,Delivery Issue
26,My payment was reversed!,Payment Issue
329,Please help with my account access!,Account/Login Issue
217,Is this menu item available for delivery?,Product/Stock Inquiry
149,,Refund/Cancellation
209,Can I change the topping after selecting the drink?,Product/Stock Inquiry
377,"Hello, how do I apply a discount code?",Promotion/Discount Inquiry
113,Please cancel and refund my order!,Refund/Cancellation
242,Can I see the latest order update?,Order Status Inquiry
178,,Product/Stock Inquiry
169,What is included with this product?,Product/Stock Inquiry
269,Can you confirm that my order was received??,Order Status Inquiry
274,Please check my pending ORDER,Order Status Inquiry
301,I am unable to sign in Can you check?,Account/Login Issue
121,The refund amount is incorrect,Refund/Cancellation
50,Why was my card charged when the order failed? Please help.,Payment Issue
56,Why has my order not been dispatched?,Delivery Issue
145,I would like to cancel and receive a refund!,Refund/Cancellation
115,Can I get a refund for the missing item?,Refund/Cancellation
320,How do I update my login information?,Account/Login Issue
151,How can I cancel an order??,Refund/Cancellation
91,Can I change the delivery address??,Delivery Issue
60,Can you deliver this before 6 PM?,Delivery Issue
300,Why am I unable to access my account??,Account/Login Issue
422,how can I learn more about your products?,General Inquiry
403,Where can I find the branch phone number?,General Inquiry
17,the transaction is showing as pending,Payment Issue
186,which drinks are available today?,Product/Stock Inquiry
273,what is happening to my order?,Order Status Inquiry
155,I changed my mind and want to cancel,Refund/Cancellation
418,Please help. what areas do you serve?,General Inquiry
141,I no longer need this order Can you check?,Refund/Cancellation
172,What ingredients are in this drink?,Product/Stock Inquiry
363,does the promotion have a minimum order?,Promotion/Discount Inquiry
167,"Hello, can I customize the amount of ice?",Product/Stock Inquiry
393,What time does the branch close?,General Inquiry
95,Can I give the rider a different address?,Delivery Issue
97,I missed the delivery call,Delivery Issue
384,Is there a discount available for this order? Can you check?,Promotion/Discount Inquiry
62,The delivery is taking too long Can you check?,Delivery Issue
417,Is the branch open on public holidays??,General Inquiry
4,Please help. i was charged for an order that never went through,Payment Issue
321,My account is temporarily locked,Account/Login Issue
131,I want my money back Can you check?,Refund/Cancellation
182,Is the brown sugar milk tea available?,Product/Stock Inquiry
243,is my order confirmed yet?,Order Status Inquiry
259,Please check my pending ORDER,Order Status Inquiry
110,Please deliver the order to another address,Delivery Issue
412,How can I contact the customer service team?,General Inquiry
54,Please help. i was charged for an order that never went through,Payment Issue
280,The app does not accept my password Can you check?,Account/Login Issue
116,I need the money returned for this order Please advise.,Refund/Cancellation
346,Is there a discount available for this order? Can you check?,Promotion/Discount Inquiry
304,Please help me reset my login Please help.,Account/Login Issue
35,The payment page is stuck ASAP.,Payment Issue
174,Can you help? do you have a dairy-free option?,Product/Stock Inquiry
362,Please tell me about today's promotions,Promotion/Discount Inquiry
344,Can I use the promotion at any branch?,Promotion/Discount Inquiry
411,Do you have a mobile application? Please advise.,General Inquiry
446,I cannot log into my account,
189,can i replace one topping with another?,Product/Stock Inquiry
335,can promotions be used with another coupon?,Promotion/Discount Inquiry
219,What sizes are available?,Product/Stock Inquiry
27,My payment was deducted but the order is not showing,Payment Issue
105,The rider has not contacted me,Delivery Issue
247,Please check if my ORDER has been accepted,Order Status Inquiry
241,Can I get an update on my order?,Order Status Inquiry
208,Is chocolate milk tea available?,Product/Stock Inquiry
297,my login code is incorrect,Account/Login Issue
442,Where is my delivery?,
264,has the order been completed?,Order Status Inquiry
148,Why has my refund not arrived? Please advise.,Refund/Cancellation
204,Can I add less sugar?,Product/Stock Inquiry
290,,Account/Login Issue
310,i cannot verify my phone number,Account/Login Issue
19,the amount was deducted twice,Payment Issue
307,"Hello, my password is not working",Account/Login Issue
88,the rider called but could not find me,Delivery Issue
414,can i order for someone else?,General Inquiry
392,Do you have branches in Colombo? Can you check?,General Inquiry
168,do you have seasonal drinks?,Product/Stock Inquiry
23,  I need help: i received a payment failure message  ,Payment Issue
355,I need help: can I get a promo code for my order?,Promotion/Discount Inquiry
415,Do you have a loyalty membership?,General Inquiry
381,Is this item included in the promotion? ASAP.,Promotion/Discount Inquiry
200,Is the mango flavour available?,Product/Stock Inquiry
107,I need an update on the delivery,Delivery Issue
94,When will my order arrive?,Delivery Issue
427,How can I contact customer support??,General Inquiry
34,The payment screen keeps loading,Payment Issue
236,Why is my order status still pending??,Order Status Inquiry
33,Can you verify whether my payment went through?,Payment Issue
123,Can you confirm my cancellation?,Refund/Cancellation
421,Do you offer loyalty points?,General Inquiry
222,Has my order been accepted by the branch?,Order Status Inquiry
430,Do you have gift cards?,General Inquiry
306,Can I change the email on my account?,Account/Login Issue
24,I was charged but did not receive an order confirmation!,Payment Issue
402,,General Inquiry
71,My delivery is delayed Please advise.,Delivery Issue
133,My refund is still pending!,Refund/Cancellation
10,I need a receipt for my payment,Payment Issue
380,Are there any special deals today?,Promotion/Discount Inquiry
59,My order has been stuck in delivery Please help.,Delivery Issue
129,My cancelled order still shows as active!,Refund/Cancellation
211,Is the medium size available?,Product/Stock Inquiry
234,,Order Status Inquiry
260,Is my order being prepared??,Order Status Inquiry
251,"Hi, can you tell me when my order will be ready?",Order Status Inquiry
206,,Product/Stock Inquiry
96,I have been waiting for my delivery all day,Delivery Issue
69,Can you contact the delivery rider??,Delivery Issue
41,The bank transaction is complete but my order is not confirmed Can you check?,Payment Issue
303,I am stuck on the verification screen,Account/Login Issue
376,Please help. does this order qualify for a discount?,Promotion/Discount Inquiry
423,How can I update my email address?,General Inquiry
413,Do you operate on Sundays? Please help.,General Inquiry
210,When will the unavailable product return?,Product/Stock Inquiry
92,,Delivery Issue
142,"Hello, can you tell me when the refund will arrive?",Refund/Cancellation
163,Please help. my cancelled order was charged,Refund/Cancellation
314,How do I recover my account??,Account/Login Issue
137,"Hi, the order should be cancelled immediately",Refund/Cancellation
326,How can I reset my password?,Account/Login Issue
164,The order was cancelled but I have not received my refund!,Refund/Cancellation
265,What stage is my order at?,Order Status Inquiry
289,Please help. the password reset email never arrived,Account/Login Issue
336,My coupon is not being accepted,Promotion/Discount Inquiry
179,What products are currently available?,Product/Stock Inquiry
49,the transaction is showing as pending,Payment Issue
100,Can you check the status of my delivery?,Delivery Issue
199,What toppings can I add?,Product/Stock Inquiry
367,What are the conditions for this offer??,Promotion/Discount Inquiry
57,My order is delayed because of the courier Can you check?,Delivery Issue
224,has the order been sent to the branch?,Order Status Inquiry
146,Please reverse this purchase,Refund/Cancellation
157,I need help: when will the cancelled order be refunded?,Refund/Cancellation
440,How can I contact the customer service team?,General Inquiry
364,How does the current promotion work?,Promotion/Discount Inquiry
445,Can you check my order status?,
287,The login button is not working,Account/Login Issue
288,i cannot access my profile,Account/Login Issue
334,Is there a first-order discount?,Promotion/Discount Inquiry
15,The payment gateway is not responding,Payment Issue
12,My transaction disappeared!,Payment Issue
385,"Hi, is this offer still available?",Promotion/Discount Inquiry
405,Do you offer loyalty points?,General Inquiry
261,Why does the system still show pending?,Order Status Inquiry
11,the amount charged is different from the order total,Payment Issue
448,,
245,Please help. has my order started being prepared?,Order Status Inquiry
65,,Delivery Issue
73,Please help. my order was sent to the wrong address,Delivery Issue
138,Can you help? please refund the payment,Refund/Cancellation
358,How long is this discount valid?,Promotion/Discount Inquiry
6,The payment confirmation has not arrived,Payment Issue
9,My payment was declined even though I have enough balance,Payment Issue
431,"Hello, what are your opening hours?",General Inquiry
28,The payment amount looks incorrect,Payment Issue
76,The rider has not arrived yet,Delivery Issue
262,,Order Status Inquiry
268,Has the kitchen received my order?,Order Status Inquiry
299,Please help with my account access!,Account/Login Issue
156,Can I cancel before it is prepared?,Refund/Cancellation
313,My account password needs to be reset!,Account/Login Issue
432,How can I contact you about a general question?,General Inquiry
20,Money was deducted but my ORDER was cancelled,Payment Issue
272,Can you confirm that my order was received??,Order Status Inquiry
443,I want a refund for this order,
361,do you have a birthday offer?,Promotion/Discount Inquiry
359,can i use more than one coupon?,Promotion/Discount Inquiry
105,The delivery status has not changed,Delivery Issue
293,I need help: the OTP is not working,Account/Login Issue
365,how can i get the current promotion?,Promotion/Discount Inquiry
276,How can I reset my password?,Account/Login Issue
397,How can I update my email address?,General Inquiry
374,  can i use a voucher on this order?  ,Promotion/Discount Inquiry
390,Where can I read your privacy policy??,General Inquiry
170,Which branch has this item?,Product/Stock Inquiry
144,I requested a refund yesterday,Refund/Cancellation
285,Please help. the verification code is not arriving,Account/Login Issue
330,How can I reset my password?,Account/Login Issue
80,The rider has not contacted me,Delivery Issue
294,i forgot the email i used to register,Account/Login Issue
159,I want my money back Can you check?,Refund/Cancellation
55,my card payment failed but i was charged,Payment Issue
32,My bank says the payment succeeded but the order is unpaid,Payment Issue
